0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;;;;;;;;;;;;;;;;;;;;;
Nazwa;Waga nom.;S;DS.;O;P;K;CUSTOM;Samodzielne;Podkategoria;Kategoria glowna;Typ;Kalorie;Tluszcz;Bialko;Weglowodany;Blonnik pokarmowy;Cholesterol;Sod;Potas;Wapn;Fosfor;Magnez;Zelazo;Cynk;Miedz;Mangan;Wit A;Wit D;Wit E;Tiamina;Ryboflawina;Niacyna;Wit B6;Foliany;Wit B12;Wit C
Kisiel waniliowy (budyn);150;Y;Y;;Y;Y;;Y;Desery;Desery;Potrawy;121;4,5;3,3;16,6;0;49;38;118;103;92;10;0,4;0,39;0,02;0,03;62;0,19;0,17;0,028;0,165;0,08;0,05;5,5;0,48;0,2
Kiszka kaszana jeczmienna;;;;;;;;;Wedliny podrobowe;Mieso i przetwory miesne;Produkty;195;12,6;8,5;13;1;32;772;144;13;80;18;7,4;0,78;0,09;0,14;4;0,21;0,13;0,113;0,066;1,65;0,08;4,2;0,25;0
Kiszka krwista;;;;;;;;;Wedliny podrobowe;Mieso i przetwory miesne;Produkty;404;35;14,2;9,2;0,2;100;1062;92;23;95;9;16,9;1,32;0,14;0,09;183;0,1;0,25;0,111;0,237;2,93;0,15;55;0,5;0
Kiszka pasztetowa;;;;;;;;;Wedliny podrobowe;Mieso i przetwory miesne;Produkty;384;35,7;12,5;4,3;0,1;137;788;144;18;166;7;6;1,56;0,2;0,11;1834;1,2;0,2;0,151;0,753;5,48;0,33;19;6;1,4
Kiwi;75;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;56;0,5;0,9;13,9;2,1;0;4;290;25;32;15;0,4;0,1;0,13;0,1;7;0;0,2;0,02;0,05;0,5;0,15;38;0;59
Klopsiki cielece mielone duszone;150;;Y;Y;Y;Y;;Y;Potrawy z cieleciny;Potrawy miesne;Potrawy;250;14,6;16,3;14,2;0,7;70;145;286;57;185;23;1,5;2,41;0,2;0,14;58;0,23;2,49;0,1;0,266;4;0,22;7,1;1,03;0,4
Klopsiki mielone z miesa mieszanego duszone;150;;Y;Y;Y;Y;;Y;Potrawy z miesa mieszanego;Potrawy miesne;Potrawy;272;17,5;13,7;15,7;0,5;57;113;234;10;137;18;1,3;2,36;0,07;0,1;12;0,44;2;0,224;0,198;2,67;0,18;8,3;0,66;0,4
Kluski kladzione;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;165;1,3;5,5;33,3;1;29;12;60;12;46;5;0,7;0,39;0,04;0,12;19;0,14;0,21;0,046;0,055;0,38;0,02;16,4;0,13;0
Kluski lane;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;93;2;4,3;14,8;0,5;65;26;46;12;50;4;0,6;0,43;0,03;0,06;44;0,31;0,19;0,028;0,09;0,17;0,02;12,5;0,29;0
Kluski lane na mleku;150;;Y;Y;Y;Y;;Y;Zupy mleczne;Zupy;Potrawy;69;3,1;3,6;6,8;0,1;23;43;128;104;82;11;0,2;0,35;0,02;0,03;35;0,08;0,11;0,033;0,167;0,12;0,04;5,6;0,4;0
Kluski slaskie;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;169;3,8;2,6;32,1;1,4;10;16;376;12;64;21;0,6;0,36;0,09;0,19;43;0,27;1,03;0,067;0,047;1,12;0,22;13;0,04;13
Knedle ze sliwkami;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;162;5,9;2,8;25,7;1,4;27;13;256;12;46;14;0,6;0,31;0,09;0,14;67;0,1;0,46;0,059;0,046;0,76;0,12;10,2;0,05;6,2
Kompot z jablek;200;Y;Y;Y;Y;Y;;Y;Desery;Desery;Potrawy;51;0,1;0,2;13,2;1;0;1;52;3;4;1;0,1;0,06;0,02;0,06;1;0;0,14;0,009;0,009;0,06;0,01;1,3;0;1,4
Kompot z wisni;200;Y;Y;Y;Y;Y;;Y;Desery;Desery;Potrawy;69;0,1;0,2;16,9;0,3;0;1;38;3;5;2;0,1;0,03;0,04;0,01;9;0;0,03;0,01;0,015;0,1;0,01;1,1;0;0,8
Koncentrat pomidorowy 30%;;;;;;;;;;;;92;1,5;5,6;16,7;2,8;0;30;1072;55;74;51;1,9;0,99;0,11;0,23;575;0;2,3;0,196;0,195;4,07;0,57;10;0;38,1
Konina mieso bez kosci;;;;;;;;;Konina;Mieso i przetwory miesne;Produkty;109;2,5;21,5;0;0;75;46;345;15;200;24;3,5;2,7;0,14;0,01;30;0,4;0,52;0,14;0,27;4,5;0,5;8;3,1;0
Konina mieso z koscia;;;;;;;;;Konina;Mieso i przetwory miesne;Produkty;109;2,5;21,5;0;0;75;46;345;15;200;24;3,5;2,7;0,14;0,01;30;0,4;0,52;0,14;0,27;4,5;0,5;8;3,1;0
Koper ogrodowy;;;;;;;;;;;;26;0,4;2,8;6,1;3,3;0;7;396;64;51;14;2,7;2,6;0,12;0,5;350;0;0,2;0,23;0,11;0,2;0,1;36;0;31
Kopytka;100;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;147;0,7;4,2;32,1;1,6;14;11;342;10;64;19;0,7;0,44;0,09;0,19;10;0,07;0,14;0,075;0,055;1,11;0,2;16,4;0,06;8,8
Kopytka z maslem;100;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;151;1,5;3,8;31,6;1,6;8;7;328;9;58;18;0,6;0,38;0,09;0,19;13;0,03;0,15;0,071;0,042;1,07;0,19;15,2;0,02;8,5
Kosci wywar;;;;;;;;;Podroby;Mieso i przetwory miesne;Produkty;5;0;1,2;0;0;0;28;15;2;4;1;0,1;0,04;0;0,01;0;0;0;0,005;0,005;0,14;0,05;0;0;0
Kotlet cielecy panierowany smazony;150;;;Y;;Y;;Y;Potrawy z cieleciny;Potrawy miesne;Potrawy;364;21,3;27,1;17,4;1,2;124;206;526;23;288;27;4,1;2,93;0,35;0,24;80;0,53;3,78;0,173;0,537;7,57;0,17;14,2;1,69;0
Kotlet mielony z kury, smazony;150;;;Y;;Y;;Y;Potrawy drobiowe;Potrawy miesne;Potrawy;382;27,8;20;14,2;0,6;134;157;342;42;207;25;2,1;1,68;0,09;0,15;98;1,52;2,37;0,096;0,221;4,95;0,39;15,3;0,52;0,2
Kotlet mielony z miesa mieszanego smazony;150;;;Y;;Y;;Y;Potrawy z miesa mieszanego;Potrawy miesne;Potrawy;285;21,1;13,1;11,7;0,7;57;108;232;10;138;19;1,3;2,38;0,07;0,13;12;0,44;2,83;0,237;0,194;2,62;0,2;8,7;0,66;0,4
Kotlet schabowy panierowany smazony;150;;;Y;;Y;;Y;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;351;24,1;19,1;15,9;1;82;111;308;20;203;26;1,3;1,88;0,09;0,19;19;0,6;3,91;0,66;0,197;5,76;0,35;11,5;0,66;0
Kotlety z jaj, smazone;150;Y;Y;Y;Y;Y;;Y;Potrawy z jaj;Potrawy z jaj;Potrawy;276;22,8;8,1;10,8;0,5;214;145;113;50;132;12;1,3;1,07;0,05;0,11;272;1,22;2,07;0,048;0,306;0,19;0,06;28,5;0,84;0,2
Kotlety z kurczaka panierowane smazone;150;;Y;Y;Y;Y;;Y;Potrawy drobiowe;Potrawy miesne;Potrawy;249;15,8;19,8;7,6;0,6;101;107;349;12;232;32;0,8;0,72;0,03;0,11;61;0,19;0,52;0,082;0,181;10,35;0,41;14,1;0,47;0
Kotlety z kurczaka saute smazone;150;;Y;Y;Y;Y;;Y;Potrawy drobiowe;Potrawy miesne;Potrawy;241;16,5;20,3;3,2;0,1;77;51;361;6;225;31;0,4;0,48;0,01;0,02;44;0,04;0,5;0,075;0,145;11,51;0,44;10,5;0,37;0
Kotlety ziemniaczane;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;242;12,8;4,4;29,3;2,1;29;37;504;13;88;28;0,9;0,62;0,13;0,27;20;0,14;2,93;0,096;0,101;1,68;0,28;26;0,13;16,9
Krem z zielonego groszku;150;Y;Y;Y;Y;Y;;Y;Zupy;Zupy;Potrawy;64;3,8;3,1;5,9;1,6;28;21;115;19;52;9;0,7;0,48;0,09;0,18;62;0,11;0,22;0,077;0,071;0,81;0,08;11,1;0,11;5
Krolik tuszka;;;;;;;;;Krolik;Mieso i przetwory miesne;Produkty;156;8;21;0;0;65;43;385;19;183;26;2,6;2,19;0,15;0,04;0;0,4;0,13;0,03;0,06;7;0,59;5;10;0
Krupnik z kaszy gryczanej;200;Y;Y;Y;Y;Y;;Y;Zupy;Zupy;Potrawy;43;1,2;1,7;7,2;0,9;0;24;150;9;37;16;0,4;0,28;0,05;0,15;102;0,06;0,48;0,038;0,026;0,53;0,13;7,3;0;3,6
Krupnik z kaszy jeczmiennej;200;Y;Y;Y;Y;Y;;Y;Zupy;Zupy;Potrawy;40;0,9;1,5;7,4;0,9;0;23;141;9;26;9;0,4;0,18;0,04;0,1;100;0,05;0,42;0,026;0,023;0,54;0,11;7;0;3,6
Krupnik z ryzu;200;Y;Y;Y;Y;Y;;Y;Zupy;Zupy;Potrawy;43;1,1;1,5;7,6;0,8;0;24;137;8;24;8;0,3;0,21;0,04;0,11;102;0,06;0,48;0,023;0,023;0,49;0,11;7,3;0;3,6
Kukurydza kolby;;;;;;;;;;;;110;1,5;3,7;23,4;3,3;0;7;283;6;102;37;0,8;0,4;0,04;0,2;9;0;0,52;0,143;0,08;1,7;0,19;52;0;12
Kukurydza kolby mrozona;;;;;;;;;;;;105;1,4;3,6;22,5;3,2;0;6;245;5;88;32;0,7;0,35;0,03;0,17;9;0;0,5;0,124;0,069;1,47;0,16;49,9;0;8,1
Kukurydza konserwowa;;;;;;;;;;;;102;1,2;2,9;23,6;3,9;0;270;220;4;79;23;0,5;0,5;0,04;0,1;35;0;0,46;0,04;0,06;1,5;0,13;8;0;1
Kulebiak;200;Y;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;222;12,7;7,8;19,9;0,7;39;28;134;24;84;11;0,8;1,12;0,04;0,1;18;0,28;1,74;0,167;0,131;1,06;0,09;29,1;0,31;0,1
Kura tuszka;;;;;;;;;Kura i kurczak;Mieso i przetwory miesne;Produkty;202;14,3;18,5;0;0;81;66;307;11;162;19;1,6;1,39;0,06;0,03;9;1,4;0,66;0,083;0,159;5,16;0,47;8;0,3;0
Kura w galarecie;100;Y;Y;Y;Y;Y;;Y;Potrawy drobiowe;Potrawy miesne;Potrawy;192;8,8;27,3;1,2;0,5;50;65;238;14;107;17;1,1;0,92;0,05;0,06;79;0,86;0,45;0,04;0,115;2,55;0,25;7,8;0,19;2
Kurczak faszerowany pieczony;;;;;;;;;;;;199;11,9;20,5;2,8;0,1;91;1208;343;15;214;33;1,4;1,44;0,08;0,07;97;1,34;0,56;0,104;0,238;7,27;0,52;8;0,56;0,4
Kurczak tuszka;;;;;;;;;;;;158;9,3;18,6;0;0;75;61;305;10;187;20;1,2;1,35;0,05;0,04;16;1,5;0,5;0,088;0,182;6,84;0,51;8;0,3;0
Kurczak w jarzynach gotowany;150;;;Y;;Y;;Y;Potrawy drobiowe;Potrawy miesne;Potrawy;99;6,4;7,6;4,6;1,7;27;45;235;25;88;16;0,8;0,71;0,06;0,13;282;0,72;1,3;0,043;0,09;2,15;0,2;17,5;0,11;7,5
Kurczeta pieczone;150;;;Y;;Y;;Y;Potrawy drobiowe;Potrawy miesne;Potrawy;179;12,7;16,4;0,1;0,1;66;61;276;11;165;18;1,1;1,2;0,05;0,04;60;1,6;1,82;0,065;0,164;6,02;0,37;7;0,26;2,1
Lazanki z biala kapusta;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;147;6,9;3,7;18,9;1,5;26;17;125;33;40;8;0,5;0,35;0,04;0,15;16;0,13;0,82;0,075;0,074;0,5;0,06;18,7;0,14;14,4
Lemoniada;;;;;;;;;;;;24;0;0;5,8;0;0;7;15;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Len nasiona;;;;;;;;;;;;500;31;24,5;35;3,9;0;79;762;195;722;291;17,1;7,8;0,4;1,2;0;0;0,17;0,17;0,16;1,4;0,04;0;0;0
Leniwe pierogi z sera twarogowego;150;;;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;242;13,9;14,6;15;0,3;68;62;100;68;180;9;0,5;0,93;0,04;0,06;121;0,69;1,99;0,035;0,261;0,19;0,07;17,4;0,67;0
Leniwe pierogi z sera twarogowego i ziemniakow;150;;;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;220;10,1;12,9;20;0,7;48;39;154;58;157;12;0,5;0,8;0,05;0,1;85;0,22;0,28;0,046;0,207;0,43;0,1;17,1;0,47;1,9
Lody mleczno-owocowe;150;;Y;;Y;;;Y;Lody mleczno-owocowe;Mleko i przetwory mleczne;Produkty;116;2,5;3,9;19,4;0,3;8;57;192;155;113;17;0,2;0,42;0,04;0,01;21;0,05;0,05;0,04;0,203;0,17;0,07;8;0,2;3
Lody smietankowe;;;;;;;;;Lody smietankowe;Mleko i przetwory mleczne;Produkty;160;8,5;3,2;17,6;0;34;47;148;125;90;13;0,1;0,34;0,02;0;71;0,1;0,14;0,038;0,159;0,11;0,05;6;0,4;0
Losos saute smazony;150;;Y;Y;Y;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;380;31,4;21,2;4;0,1;84;53;391;15;279;31;1,1;0,86;0,07;0,03;70;13,49;5,38;0,204;0,18;7,82;0,85;23,3;5,18;1,2
Losos swiezy;;;;;;;;;Ryby swieze;Ryby i przetwory rybne;Produkty;201;13,6;19,9;0;0;70;51;371;13;266;29;1;0,8;0,06;0,02;41;13;2,23;0,23;0,17;7,5;0,98;26;5;1
Losos wedzony;;;;;;;;;Ryby wedzone;Ryby i przetwory rybne;Produkty;162;8,4;21,5;0;0;70;1470;330;15;250;30;0,5;0,43;0,09;0,04;30;13;1,3;0,23;0,1;7;0,68;26;3;0
Losos z rusztu;150;;Y;Y;Y;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;283;22,3;20,7;0,6;0,2;84;54;403;19;278;32;1,2;0,85;0,08;0,03;85;13,49;3,28;0,202;0,184;7,79;0,85;23,8;4,6;6,2
Majonez domowy z olejem rzepakowym;;;;;;;;;;;;714;79;1,3;2,6;0,1;65;396;15;14;44;9;0,5;0,25;0,05;0,02;54;0,29;20,7;0,015;0,059;0;0,02;10,2;0,29;0
Majonez domowy z olejem slonecznikowym;;;;;;;;;;;;714;79;1,3;2,6;0,1;65;396;15;14;44;9;0,6;0,25;0,03;0,02;54;0,29;36,07;0,015;0,059;0;0,02;10,2;0,29;0
Mak niebieski;;;;;;;;;;;;478;42,9;20,1;24,7;20,5;0;6;963;1266;1022;458;8,1;3,34;0,42;3,71;0;0;1,8;0,073;0,12;0,81;0,44;58;0;0
Maka kukurydziana;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;337;3;5,9;78;7,5;0;2;193;7;127;40;3;0,84;0,1;0,35;0;0;0,3;0,371;0,1;1,32;0,33;20;0;0
Maka pszenna typ 1850;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;309;2,3;11,9;70;10,8;0;3;340;34;295;98;3,5;3,05;0,33;2,4;0;0;1,3;0,445;0,095;6,54;0,31;109;0;0
Maka pszenna typ 500;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;343;1,2;10,1;74;2,3;0;2;110;18;67;10;1,1;0,56;0,08;0,25;0;0;0,4;0,111;0,051;0,93;0,02;54;0;0
Maka pszenna typ 500 z witaminami;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;343;1,2;10,1;74;2,3;0;2;110;18;67;10;1,1;0,56;0,08;0,25;0;0;0,4;0,611;0,751;6,93;0,67;154;0,5;0
Maka pszenna typ 550;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;344;1,6;10,5;73;2,2;0;2;136;19;92;19;1,3;0,91;0,12;0,4;0;0;0,4;0,156;0,06;0,97;0,06;56;0;0
Maka pszenna typ 550 z witaminami;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;344;1,6;10,5;73;2,2;0;2;136;19;92;19;1,3;0,91;0,12;0,4;0;0;0,4;0,656;0,76;6,97;0,71;156;0,5;0
Maka pszenna typ 750;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;341;1,8;11,6;71,3;2,9;0;3;165;20;122;31;1,6;1,36;0,15;0,62;0;0;0,74;0,324;0,081;2,29;0,17;64;0;0
Maka ryzowa;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;348;0,7;7,2;79,2;2,3;0;3;117;10;90;36;1,1;0,8;0,2;0,6;0;0;0;0,08;0,03;1,9;0,2;10;0;0
Maka sojowa pelnotlusta;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;424;23,5;45;20,1;11,9;0;1;2307;269;753;300;9,1;4,55;1,53;3,48;11;0;0,6;0,121;0,265;1,84;0,57;300;0;0
Maka zytnia typ 1400;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;310;2,2;7,1;75,3;11;0;2;313;32;224;63;2,5;3,1;0,25;3,56;0;0;0,97;0,231;0,13;0,94;0,24;69;0;0
Maka zytnia typ 2000;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;301;2,2;8,1;74;12,8;0;3;420;37;302;89;3,4;3,84;0,35;4,24;0;0;1,17;0,235;0,156;1,03;0,3;82;0;0
Maka zytnia typ 580;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;330;1,5;5,1;78,5;5,6;0;2;155;19;91;21;1,1;1,04;0,09;0,7;0;0;0,12;0,153;0,066;0,57;0,1;23;0;0
Maka zytnia typ 720;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;327;1,7;5,9;77,4;6,4;0;2;190;21;113;29;1,4;1,5;0,17;1,24;0;0;0,5;0,183;0,1;0,66;0,14;49;0;0
Makaron bezjajeczny;;;;;;;;;Makarony;Produkty zbozowe;Produkty;364;1,6;11;77,6;2,4;0;2;149;20;100;22;1,3;0,91;0,13;0,46;0;0;0,38;0,158;0,06;0,98;0,07;57;0;0
Makaron bezjajeczny z semoliny;;;;;;;;;Makarony;Produkty zbozowe;Produkty;367;1,4;10,7;79,4;2,8;0;1;180;19;116;34;1,1;0,64;0,16;0,64;0;0;0,11;0,116;0,042;0,74;0,1;31,1;0;0
Makaron czterojajeczny;;;;;;;;;Makarony;Produkty zbozowe;Produkty;391;3,4;13,2;78,3;2,6;68;28;187;28;145;29;1,6;1,13;0,15;0,53;51;0,32;0,4;0,152;0,155;0,89;0,1;64;0,3;0
Makaron dwujajeczny;;;;;;;;;Makarony;Produkty zbozowe;Produkty;373;2,6;12;76,8;2,6;39;17;173;24;127;28;1,4;0,97;0,15;0,52;29;0,18;0,34;0,145;0,111;0,87;0,09;57,9;0,17;0
Makaron dwujajeczny z semoliny;;;;;;;;;Makarony;Produkty zbozowe;Produkty;374;2,4;11,9;77,8;2,9;39;16;191;24;136;34;1,3;0,81;0,16;0,63;29;0,18;0,18;0,121;0,1;0,73;0,1;35,4;0,17;0
Makaron gotowany;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;108;0,7;3,5;22,1;0,7;11;5;50;7;37;8;0,4;0,28;0,04;0,15;7;0,05;0,09;0,035;0,027;0,22;0,02;9,3;0,05;0
Makaron na mleku;150;Y;Y;Y;Y;Y;;Y;Zupy mleczne;Zupy;Potrawy;65;2,2;2,9;8,6;0,2;11;30;102;78;64;10;0,2;0,28;0,02;0,05;22;0,03;0,08;0,03;0,118;0,11;0,03;3,7;0,27;0
Makaron z maslem, gotowany;150;Y;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;126;1,8;3,8;24,2;0,8;15;5;55;8;40;9;0,4;0,31;0,05;0,16;17;0,07;0,12;0,038;0,029;0,24;0,03;10,2;0,05;0
Makaron z serem twarogowym i maslem;150;Y;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;141;5,2;6,5;17,3;0,5;23;12;51;25;67;4;0,3;0,37;0,03;0,06;43;0,1;0,19;0,028;0,086;0,22;0,03;10,8;0,19;0
Makaron zapiekany z biala kapusta;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;138;5,2;3,7;21,2;2,2;8;16;187;49;48;15;0,5;0,42;0,06;0,27;11;0,04;2,07;0,065;0,053;0,37;0,07;27,3;0,04;34
Makrela swieza;;;;;;;;;;;;181;11,9;18,7;0;0;75;95;396;12;244;30;1;0,39;0,16;0,04;100;5;1,25;0,13;0,33;7,5;0,63;10;8;0
Makrela wedzona;100;y;y;y;y;y;;y;Ryby wedzone;Ryby i przetwory rybne;Produkty;221;15,5;20,7;0;0;70;1170;275;5;240;30;1,2;0,39;0,16;0,04;54;8,4;1;0,14;0,35;8;0,5;10;9,7;0
Maliny;75;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;29;0,3;1,3;12;6,7;0;2;203;35;33;20;0,8;0,36;0,19;0,32;3;0;0,48;0,018;0,062;0,26;0,06;30;0;31,4
Maliny mrozone;;;;;;;;;;;;29;0,3;1,3;12;6,7;0;2;203;35;33;20;0,8;0,36;0,19;0,32;3;0;0,48;0,018;0,062;0,26;0,06;27;0;28,3
Mandarynki;75;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;42;0,2;0,6;11,2;1,9;0;1;189;30;18;17;0,3;0,07;0,05;0,04;16;0;0,2;0,105;0,022;0,2;0,07;21;0;30,8
Mango;75;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;67;0,3;0,5;17;1,7;0;7;201;11;14;19;0,5;0,12;0,13;0,17;392;0;1;0,06;0,06;0,6;0,13;36;0;28
Marchew;;;;;;;;;;;;27;0,2;1;8,7;3,6;0;82;282;36;32;16;0,5;0,34;0,1;0,19;1656;0;0,51;0,054;0,054;0,45;0,15;32;0;3,4
Marchew mrozona;;;;;;;;;;;;24;0,2;0,9;7,8;3,2;0;66;228;29;26;13;0,4;0,28;0,08;0,15;1491;0;0,46;0,044;0,044;0,36;0,12;25,6;0;2,1
Marchew z groszkiem mrozona;;;;;;;;;;;;39;0,3;2,6;10,4;4;0;47;251;26;50;17;0,8;0,56;0,13;0,27;1063;0;0,43;0,119;0,072;0,96;0,13;34;0;8,4
Marchewka gotowana, zasmazana;150;Y;Y;Y;Y;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;69;4,8;1,1;8,4;2,9;14;66;228;30;28;13;0,4;0,29;0,08;0,16;1217;0,05;0,5;0,041;0,046;0,38;0,11;13,4;0;2,1
Marchewka z groszkiem gotowana;150;Y;Y;Y;Y;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;64;3,1;1,7;10,7;3,4;0;90;204;31;35;16;0,7;0,38;0,1;0,2;979;0,19;1,23;0,05;0,05;0,46;0,09;12,7;0;2,3
Margaryna miekka 45% tluszczu;;;;;;;;;Margaryny;Tluszcze;Produkty;398;45;0;0;0;0;60;0;0;0;0;0;0;0;0;600;5;22,26;0;0;0;0;0;0;0
Margaryna miekka 50% tluszczu;;;;;;;;;Margaryny;Tluszcze;Produkty;442;50;0;0;0;0;79;0;0;0;0;0;0;0;0;700;5,83;11,85;0;0;0;0;0;0;0
Margaryna miekka 60% tluszczu;;;;;;;;;Margaryny;Tluszcze;Produkty;533;60;0,2;0,3;0;1;61;5;4;3;1;0,1;0,01;0,01;0;750;6,25;18;0,001;0,005;0,01;0;0;0;0
Margaryna miekka 70% tluszczu;;;;;;;;;Margaryny;Tluszcze;Produkty;621;70;0,1;0,4;0;0;122;10;5;3;0;0;0;0;0;900;7,5;9;0,003;0,01;0,01;0;0;0;0
Margaryna miekka 80% tluszczu;;;;;;;;;Margaryny;Tluszcze;Produkty;710;80;0,3;0,4;0;1;121;9;7;5;1;0,1;0,02;0,01;0,01;750;5;27,72;0,003;0,013;0,01;0;0;0;0
Margaryna twarda 80% tluszczu;;;;;;;;;Margaryny;Tluszcze;Produkty;710;80;0,3;0,4;0;1;121;10;9;6;1;0,1;0,02;0,01;0,01;750;5,63;16,82;0,003;0,013;0,01;0;0;0;0
Markizy;;;;;;;;;;;;483;23;5,6;64,3;1,2;11;129;113;56;82;13;0,7;0,58;0,07;0,19;8;0,05;0,95;0,069;0,087;0,3;0,03;14,5;0,1;0,2
Maslanka 0,5% tluszczu z wapniem;150;y;y;y;y;y;;y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;37;0,5;3,4;4,7;0;3;60;150;300;80;13;0,1;0,5;0,01;0;8;0;0;0,04;0,17;0,1;0,04;3;0,3;0
Maslanka spozywcza 0,5% tluszczu;;;;;;;;;Napoje mleczne;Mleko i przetwory mleczne;Produkty;37;0,5;3,4;4,7;0;3;60;150;110;80;13;0,1;0,5;0,01;0;8;0;0;0,04;0,17;0,1;0,04;3;0,3;0
Maslo extra;;;;;;;;;Tluszcze zwierzece;Tluszcze;Produkty;735;82,5;0,7;0,7;0;248;9;25;16;12;1;0,1;0,08;0,01;0;814;0,76;2,52;0,007;0,035;0,02;0,01;3;0;0
Maslo smietankowe;;;;;;;;;Tluszcze zwierzece;Tluszcze;Produkty;659;73,5;1,1;1,1;0;220;6;15;12;12;1;0,1;0,07;0,01;0;724;0,72;2,32;0,012;0,035;0,04;0,01;3;0;0
Medaliony z indyka smazone;150;;;Y;;Y;;Y;Potrawy drobiowe;Potrawy miesne;Potrawy;247;17,9;18,6;3,4;0,1;70;45;441;3;229;34;0,5;0,82;0,04;0,02;40;0,03;0,28;0,035;0,146;4,69;0,49;7,9;0,66;0
Melon;75;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;36;0,3;0,9;8,4;1;0;22;382;27;22;23;0,5;0,28;0,01;0,09;183;0;0,1;0,04;0,02;0,6;0,12;30;0;20
Mielonka (Luncheon meat);;;;;;;;;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;171;11,7;12,8;3,7;0;39;1065;296;9;158;15;1,3;1,68;0,09;0,05;0;0,4;0,13;0,336;0,151;3,28;0,26;1,4;0,36;0
Mieso z piersi indyka bez skory;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;84;0,7;19,2;0;0;49;47;460;2;238;35;0,5;0,83;0,04;0,01;9;0;0,02;0,036;0,15;4,92;0,59;8;0,7;0
Mieso z piersi indyka ze skora;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;100;2,7;18,7;0;0;50;48;441;2;229;33;0,5;0,82;0,04;0,01;28;0,3;0,04;0,037;0,146;5,1;0,57;8;0,7;0
